start_time,end_time,latency
1729704154.026769,1729704154.0772219,0.05045294761657715
1729704154.0772228,1729704154.1398458,0.0626230239868164
1729704154.1398468,1729704154.193747,0.05390024185180664
1729704154.193748,1729704154.251063,0.05731511116027832
1729704154.251064,1729704154.310851,0.05978703498840332
1729704154.310852,1729704154.363023,0.05217099189758301
1729704154.363025,1729704154.4143,0.051275014877319336
1729704154.414301,1729704154.467701,0.05340003967285156
1729704154.467702,1729704154.522769,0.05506706237792969
1729704154.522771,1729704154.576809,0.054038047790527344
1729704154.57681,1729704154.630364,0.05355405807495117
1729704154.630365,1729704154.6833951,0.05303025245666504
1729704154.683397,1729704154.74245,0.05905294418334961
1729704154.742451,1729704154.803106,0.06065511703491211
1729704154.803107,1729704154.8656151,0.06250810623168945
1729704154.8656168,1729704154.922642,0.05702519416809082
1729704154.922643,1729704154.986235,0.06359195709228516
1729704154.9862368,1729704155.045758,0.05952119827270508
1729704155.045759,1729704155.099628,0.053869009017944336
1729704155.0996292,1729704155.151068,0.05143880844116211
1729704155.151069,1729704155.2031648,0.052095890045166016
1729704155.203166,1729704155.256512,0.05334591865539551
1729704155.256513,1729704155.340226,0.08371281623840332
1729704155.3402271,1729704155.418659,0.07843184471130371
1729704155.4186602,1729704155.480022,0.06136178970336914
1729704155.480024,1729704155.5535748,0.07355070114135742
1729704155.553576,1729704155.633909,0.08033299446105957
1729704155.63391,1729704155.69231,0.05840015411376953
1729704155.692311,1729704155.771452,0.07914090156555176
1729704155.771453,1729704155.8881788,0.11672592163085938
1729704155.888181,1729704155.940831,0.05264997482299805
1729704155.940832,1729704155.996279,0.05544710159301758
1729704155.99628,1729704156.048138,0.051857948303222656
1729704156.04814,1729704156.125026,0.07688593864440918
1729704156.1250281,1729704156.177033,0.05200481414794922
1729704156.177034,1729704156.2373881,0.06035423278808594
1729704156.237389,1729704156.295962,0.058573007583618164
1729704156.2959628,1729704156.3480918,0.05212903022766113
1729704156.348094,1729704156.399758,0.051664113998413086
1729704156.399759,1729704156.468877,0.06911802291870117
1729704156.468878,1729704156.519744,0.050865888595581055
1729704156.519745,1729704156.5704389,0.05069375038146973
1729704156.570441,1729704156.623053,0.0526120662689209
1729704156.623054,1729704156.676206,0.05315208435058594
1729704156.676208,1729704156.7282932,0.052085161209106445
1729704156.728294,1729704156.781255,0.052961111068725586
1729704156.781256,1729704156.866561,0.08530497550964355
1729704156.8665621,1729704156.9199,0.053337812423706055
1729704156.9199018,1729704156.972951,0.05304908752441406
1729704156.9729521,1729704157.026082,0.05312991142272949
1729704157.026083,1729704157.080937,0.05485391616821289
1729704157.080938,1729704157.132938,0.051999807357788086
1729704157.132939,1729704157.189486,0.056546926498413086
1729704157.1894882,1729704157.240294,0.05080580711364746
1729704157.240295,1729704157.293657,0.053362131118774414
1729704157.293659,1729704157.34541,0.051751136779785156
1729704157.345411,1729704157.4014301,0.05601906776428223
1729704157.401432,1729704157.454051,0.052618980407714844
1729704157.4540532,1729704157.5061078,0.052054643630981445
1729704157.506109,1729704157.562902,0.0567929744720459
1729704157.5629041,1729704157.615448,0.05254387855529785
1729704157.6154501,1729704157.6689432,0.05349302291870117
1729704157.6689432,1729704157.722501,0.0535578727722168
1729704157.722502,1729704157.775174,0.05267190933227539
1729704157.7751749,1729704157.8276858,0.052510976791381836
1729704157.827688,1729704157.880065,0.05237698554992676
1729704157.8800662,1729704157.934934,0.05486774444580078
1729704157.934937,1729704157.994441,0.059504032135009766
1729704157.994442,1729704158.046954,0.05251193046569824
1729704158.046955,1729704158.098003,0.05104780197143555
1729704158.0980039,1729704158.148581,0.05057716369628906
1729704158.148582,1729704158.2007282,0.052146196365356445
1729704158.2007291,1729704158.252903,0.05217385292053223
1729704158.252904,1729704158.3054788,0.052574872970581055
1729704158.30548,1729704158.356954,0.05147409439086914
1729704158.3569548,1729704158.40975,0.0527951717376709
1729704158.409751,1729704158.462663,0.052911996841430664
1729704158.462666,1729704158.514892,0.05222606658935547
1729704158.514894,1729704158.5658948,0.05100083351135254
1729704158.565896,1729704158.618836,0.05293989181518555
1729704158.6188369,1729704158.670028,0.051191091537475586
1729704158.6700292,1729704158.7231622,0.05313301086425781
1729704158.723163,1729704158.774411,0.05124807357788086
1729704158.774412,1729704158.825472,0.05106019973754883
1729704158.825474,1729704158.877401,0.05192708969116211
1729704158.8774028,1729704158.9285262,0.05112338066101074
1729704158.9285278,1729704158.979286,0.05075812339782715
1729704158.9792871,1729704159.0324821,0.05319499969482422
1729704159.032483,1729704159.083096,0.0506129264831543
1729704159.083097,1729704159.135764,0.05266690254211426
1729704159.135765,1729704159.1879098,0.052144765853881836
1729704159.187912,1729704159.240522,0.052609920501708984
1729704159.240523,1729704159.291718,0.05119490623474121
1729704159.29172,1729704159.3440661,0.052346229553222656
1729704159.344067,1729704159.4007108,0.05664372444152832
1729704159.400713,1729704159.452079,0.05136609077453613
1729704159.452081,1729704159.5045462,0.052465200424194336
1729704159.504547,1729704159.56109,0.05654287338256836
1729704159.5610912,1729704159.6123588,0.05126762390136719
1729704159.61236,1729704159.6640441,0.05168414115905762
