start_time,end_time,latency
1729704148.635723,1729704148.686812,0.051088809967041016
1729704148.6868129,1729704148.738077,0.051264047622680664
1729704148.7380779,1729704148.8178098,0.07973194122314453
1729704148.817811,1729704148.870077,0.05226588249206543
1729704148.870079,1729704148.922466,0.05238699913024902
1729704148.922467,1729704148.9738991,0.051432132720947266
1729704148.9739,1729704149.02756,0.053659915924072266
1729704149.027561,1729704149.0798101,0.05224919319152832
1729704149.079811,1729704149.131843,0.0520319938659668
1729704149.1318452,1729704149.183867,0.05202174186706543
1729704149.183868,1729704149.23683,0.05296206474304199
1729704149.236831,1729704149.2886121,0.05178117752075195
1729704149.288613,1729704149.339793,0.05117988586425781
1729704149.339794,1729704149.391859,0.052065134048461914
1729704149.39186,1729704149.444292,0.05243206024169922
1729704149.444294,1729704149.496474,0.05218005180358887
1729704149.496475,1729704149.5494258,0.05295085906982422
1729704149.549428,1729704149.603262,0.053833961486816406
1729704149.603263,1729704149.6556082,0.05234527587890625
1729704149.6556091,1729704149.7096262,0.054017066955566406
1729704149.709627,1729704149.761487,0.05186009407043457
1729704149.761488,1729704149.813514,0.05202603340148926
1729704149.813515,1729704149.868259,0.05474400520324707
1729704149.868261,1729704149.919911,0.05164980888366699
1729704149.919913,1729704149.979306,0.05939292907714844
1729704149.9793081,1729704150.0325482,0.053240060806274414
1729704150.0325508,1729704150.085763,0.05321216583251953
1729704150.0857651,1729704150.137187,0.0514218807220459
1729704150.1371882,1729704150.189408,0.05221986770629883
1729704150.189409,1729704150.240951,0.051542043685913086
1729704150.240952,1729704150.2932742,0.0523221492767334
1729704150.2932758,1729704150.349344,0.05606818199157715
1729704150.349345,1729704150.415479,0.06613397598266602
1729704150.415481,1729704150.469214,0.053732872009277344
1729704150.469215,1729704150.521535,0.052320003509521484
1729704150.521537,1729704150.582628,0.061090946197509766
1729704150.5826292,1729704150.6353889,0.052759647369384766
1729704150.63539,1729704150.689919,0.05452895164489746
1729704150.68992,1729704150.75199,0.06207013130187988
1729704150.751991,1729704150.807349,0.055357933044433594
1729704150.807351,1729704150.860126,0.052774906158447266
1729704150.860128,1729704150.91281,0.05268216133117676
1729704150.912811,1729704150.966,0.05318903923034668
1729704150.9660008,1729704151.018332,0.05233120918273926
1729704151.018333,1729704151.069959,0.051625967025756836
1729704151.0699599,1729704151.132298,0.06233811378479004
1729704151.132299,1729704151.1852212,0.05292224884033203
1729704151.185222,1729704151.236387,0.051165103912353516
1729704151.2363882,1729704151.287466,0.051077842712402344
1729704151.287467,1729704151.340657,0.053189992904663086
1729704151.340659,1729704151.392993,0.05233407020568848
1729704151.3929942,1729704151.446461,0.053466796875
1729704151.446462,1729704151.4981382,0.051676273345947266
1729704151.498139,1729704151.554039,0.05590009689331055
1729704151.55404,1729704151.605549,0.05150914192199707
1729704151.60555,1729704151.657503,0.05195283889770508
1729704151.657504,1729704151.709297,0.05179286003112793
1729704151.7092988,1729704151.762429,0.053130149841308594
1729704151.76243,1729704151.8152761,0.05284619331359863
1729704151.815277,1729704151.872415,0.05713796615600586
1729704151.872416,1729704151.926118,0.05370187759399414
1729704151.9261189,1729704151.9777322,0.05161333084106445
1729704151.9777331,1729704152.029408,0.051674842834472656
1729704152.0294101,1729704152.081433,0.05202293395996094
1729704152.081435,1729704152.132926,0.05149102210998535
1729704152.132927,1729704152.1846159,0.05168890953063965
1729704152.184617,1729704152.2370949,0.05247783660888672
1729704152.2370958,1729704152.291209,0.054113149642944336
1729704152.291211,1729704152.343955,0.052744150161743164
1729704152.343957,1729704152.3999722,0.0560152530670166
1729704152.3999732,1729704152.452684,0.052710771560668945
1729704152.452685,1729704152.511657,0.05897188186645508
1729704152.511658,1729704152.568195,0.05653715133666992
1729704152.568197,1729704152.6210802,0.052883148193359375
1729704152.621081,1729704152.672918,0.05183696746826172
1729704152.672919,1729704152.7335339,0.060614824295043945
1729704152.733535,1729704152.78802,0.05448484420776367
1729704152.788023,1729704152.8403862,0.05236315727233887
1729704152.840388,1729704152.900615,0.0602269172668457
1729704152.900616,1729704152.952815,0.05219912528991699
1729704152.952817,1729704153.01943,0.06661295890808105
1729704153.019433,1729704153.071701,0.052268028259277344
1729704153.071702,1729704153.124714,0.05301189422607422
1729704153.124715,1729704153.176457,0.051741838455200195
1729704153.176459,1729704153.236319,0.0598599910736084
1729704153.23632,1729704153.2892952,0.05297517776489258
1729704153.289296,1729704153.340846,0.05155014991760254
1729704153.3408482,1729704153.393353,0.052504777908325195
1729704153.393354,1729704153.444777,0.051423072814941406
1729704153.444778,1729704153.497303,0.05252504348754883
1729704153.4973052,1729704153.548943,0.051637887954711914
1729704153.5489438,1729704153.605941,0.05699729919433594
1729704153.605942,1729704153.658525,0.05258297920227051
1729704153.658528,1729704153.7105138,0.051985740661621094
1729704153.710516,1729704153.763954,0.05343794822692871
1729704153.7639549,1729704153.817478,0.05352306365966797
1729704153.8174798,1729704153.8685381,0.051058292388916016
1729704153.8685389,1729704153.9207628,0.052223920822143555
1729704153.920764,1729704153.9745548,0.05379080772399902
1729704153.974556,1729704154.025998,0.05144214630126953
